County,Market Name,Location,Address Line 1,City,State,Zip,Contact,Phone,Market Link,Operation Hours,Operation Season,Operating Months,FMNP,SNAP,FCC Issued,FCC Accepted,Latitude,Longitude,Georeference
Bronx,Harvest Home St. Marys Park Farm Stand,E 149th St. & Eagle Ave,646 E 149th St,Bronx,NY,10455,Maritza Owens,2128283361,http://www.harvesthomefm.org,Thursday  8am-4pm,June 4-November 19,M,Y,Y,N,Y,40.81099,-73.91173,"(40.81099, -73.91173)"
Niagara,Niagara Falls City Monday Market,19th St. & Pine Ave.,1800-1808 Pine Ave,Niagara Falls,NY,14301,Victor Muto,7167540798,http://www.local-farmers-markets.com/market/3569/niagara-falls/niagara-falls-city-market,Monday  9am-3pm,Year-round,YR,Y,N,N,Y,43.09513,-79.03972,"(43.09513, -79.03972)"
New York,Morningside Park Farmers' Market,265 Manhattan Ave. @W 110th St. Manhattan,265 Manhattan Ave.,New York,NY,10025,Miriam Haas,9149234837,http://www.downtoearthmarkets.com,Saturday 9am-3pm,May 2-December 19,P/M/X,Y,Y,N,Y,40.80173,-73.95915,"(40.80173, -73.95915)"
Schenectady,Veggie Mobile-Hillside View Apts,602 Craig Street  Schenectady,602 Craig Street,Schenectady,NY,12307,Audrey Bridge,5182748685,http://www.captialroots.org,Friday 2:15pm-3pm,Year-round,YR,Y,Y,Y,Y,42.80323,-73.93741,"(42.80323, -73.93741)"
Westchester,Pleasantville Farmers' Market,"Memorial Plaza parking lot, off Manville Rd. next to Train Station",Manville Rd and Wheeler Ave,Pleasantville,NY,10570,Steven Bates,9142054545,http://www.pleasantvillefarmersmarket.org,Saturday  8:30am-1pm,March 14-December 19,P/M,Y,Y,N,Y,41.13526,-73.79218,"(41.13526, -73.79218)"
Fulton,Johnstown Farmers' Market,"Shirley J Luck Senior Center, 109 E. Main St. Johstown",109 E. Main Street,Johnstown,NY,12095,Michael Tillson,5188829306,http://www.fmfma.org,Tuesday  3pm-6pm,June 23-October 13,M,Y,N,N,Y,43.00636,-74.37421,"(43.00636, -74.37421)"
Bronx,TFFJ Fresh Farm Market-Bronx,100 W Mosholu Pkwy South,100 W Mosholu Pkwy South,Bronx,NY,10468,Katherine Soll,9292411029,http://www.teensforfoodjustice.org,Thursday 3pm-6pm,Year-Round,YR,N,Y,N,Y,40.88007,-73.88593,"(40.88007, -73.88593)"
Rockland,Nyack WINTER Farmers' Market,Nyack Center 58 Depew Ave. Inside,"56 Depew Ave, NY",Nyack,NY,10960,Pam Moskowitz,8454943408,http://www.nyackchamber.org,Thursday  8am-2pm,January 3-March 28,W,N,Y,N,Y,41.089496,-73.919311,"(41.089496, -73.919311)"
Orange,Tuxedo Farmers' Market,"Tuxedo Train Station,  240 Rt. 17N",240 State Route 17,Tuxedo,NY,10987,Lorraine Barbarash,8453251278,http://www.tuxedofarmersmarket.com,Saturday  9am-2pm,June 13-October 31,M,N,N,N,Y,41.19447,-74.18447,"(41.19447, -74.18447)"
New York,Savoy Park Farmers Market,"560 Malcom X Blvd New York, East side of Lenox Ave",560 Malcom X Blvd,New York,NY,10037,Miriam Haas,9149234837,http://www.downtoearthmarkets.com,Saturday 9am-3pm,August 15-November 27,M,Y,N,N,Y,40.81624,-73.93896,"(40.81624, -73.93896)"
Niagara,Veggie Van MM-St John De LaSalle,8600 Buffalo Ave. Niagara Falls,8600 Buffalo Ave.,Niagara Falls,NY,14304,Jen Regan,7162990905,,Thursday 10am-11am,June 1-October 31,M,Y,Y,N,Y,43.07637,-78.96524,"(43.07637, -78.96524)"
Wyoming,Perry Farmers' Market,Perry Festival Plaza  S. Main Street,Main St and Borden Ave,Perry,NY,14530,Rick Hauser,5859913893,http://www.perryfarmersmarket.com,Sat  8:30am-12:30pm,June 20-September 26,M,Y,N,N,Y,42.71842,-78.00218,"(42.71842, -78.00218)"
Kings,Cortelyou Greenmarket,Cortelyou Rd. btwn Argyle & Rugby Rds.,1399 Cortelyou Rd,Brooklyn,NY,11226,Siobahn Keys,2127887476,https://www.grownyc.org/farmstands,Sunday  8am-2pm,Year-round,YR,Y,Y,N,Y,40.64044,-73.96617,"(40.64044, -73.96617)"
Bronx,Bissel Gardens Farmers' Market-Sat,Baychester Ave. below the E 241 St. intersection,Baychester Ave and East 241st St,Bronx,NY,10470,Heather Dombrowa,3474272547,http://www.bisselgardens.org,Sat  10am-5pm,August 1-November 21,M,Y,N,N,Y,40.90151,-73.84702,"(40.90151, -73.84702)"
Jefferson,Alexandria Bay Farmers' Market,Kinney Drugs Route 12,21 Route 12,Alexandria Bay,NY,13607,Keri Jobson,3154829531,http://www.visitalexbay.org,Friday  9am-3pm,May 25-September 14,P/M,N,N,N,Y,44.33191,-75.91425,"(44.33191, -75.91425)"
Monroe,Curbside Market-Manhattan Sq Family Medicine,454 E Broad St Rochester 14607,454 E Broad St,Rochester,NY,14607,Andrea Cuzenz,5854134069,http://www.foodlinkny.org,Thu 2:15pm-3:30pm,July 9-December 17,M/X,Y,Y,N,Y,43.15531,-77.59957,"(43.15531, -77.59957)"
Erie,East Aurora Saturday Farmers' Market,Aurora Village (TOPS) Plaza 123 Grey St.,123 Grey St,East Aurora,NY,14052,Gail Fenton,5853439491,http://www.eastaurorafarmersmarket.com,Saturday  7am-1pm,May 2-November 21,P/M,Y,N,N,Y,42.76593,-78.63413,"(42.76593, -78.63413)"
Kings,Brooklyn Grange Farm Stand @ SSP,"850 3rd Ave, rooftop  Brooklyn",850 3rd Ave,Brooklyn,NY,11232,Ben Flanner,6082150218,http://www.brooklyngrangefarm.org,Sunday 10am-4pm,May 24-November 1,M,Y,N,N,Y,40.6594,-74.0044,"(40.6594, -74.0044)"
Monroe,Brockport Farmers' Market,Market St. off Main St. Brockport,Main St and Market St,Brockport,NY,14420,Charlene Veltz,5857503382,http://www.brockportny.org/community/farmers-market,Sunday  8am-1pm,June 21 -October 25,M,Y,N,N,Y,43.21556,-77.9385,"(43.21556, -77.9385)"
Montgomery,Damin Farm Stand,8075 State Highway 5 St. Johnsville,8075 State Highway 5,St. Johnsville,NY,13452,Barb Damin,5185682643,,Daily  9am-6pm,Year-round,YR,Y,Y,N,Y,43.00497,-74.72233,"(43.00497, -74.72233)"
Bronx,Harvest Home Jacobi Hospital Fri Farmers Market,1400 Pelham Parkway,1400 Pelham Parkway,Bronx,NY,10461,Maritza Owens,2128283361,http://www.harvesthomefm.org,Fri  8am-4pm,July 10 -November 20,P/M,Y,Y,N,Y,40.85738,-73.84631,"(40.85738, -73.84631)"
Lewis,Owls Landing Farm Farm Stand,7411 West Rd Lowville,7411 West Road,Lowville,NY,13367,John Ingham,3153762268,http://owlslandingfarm.com,"Mon-Fri 3p-5p            , Sat/Sun 1p-6pm",September 1-Nov 30,M,Y,N,N,Y,43.78906,-75.54409,"(43.78906, -75.54409)"
Monroe,Rochester Public Market-Saturday,280 N. Union St. off East Main St.,280 North Union St.,Rochester,NY,14609,Cindy De Coste,5854286907,http://www.cityofrochester.gov/publicmarket,Saturday 5am-3pm,Year-round,YR,Y,Y,N,Y,43.1657,-77.59016,"(43.1657, -77.59016)"
Wayne,Lyons Farmers' Market,Village Square 32 Church St.,32 Church Street,Lyons,NY,14489,Joan Delaro,3158714220,http://www.lyonsny.com/farmers-market.html,Sat  7:30am-12pm,June 20-October 31,M,Y,N,N,Y,43.06336,-76.99243,"(43.06336, -76.99243)"
Rensselaer,Veggie Mobile Sprout-Edward A. Kane Apts,115th Street & 2nd Ave Troy,5 115th Street,Troy,NY,12182,Audrey Bridge,5182748685,http://www.capitalroots.org,Thu 11am-11:30am,Year-round,YR,Y,Y,Y,Y,42.7748,-73.67761,"(42.7748, -73.67761)"
Rensselaer,Capital Roots Produce Project Farm Stand,261 8th Street Troy,261 8th Street,Troy,NY,12180,Nell Roberts,5182748685,http://www.capitalroots.org,Tuesday  4pm-6pm,May 5-October 27,P/M,Y,Y,N,Y,42.73697,-73.68247,"(42.73697, -73.68247)"
Saratoga,Clifton Park Farmers' Market,971 Rt. 146 Shenendehowa Methodist Church Clifton Park,971 State Route 146,Clifton Park,NY,12065,Emily Meagher,5187083698,http://www.saratogafarmersmarket.org,Monday  2pm-5pm,June 1-October 26,M,Y,N,N,Y,42.8688,-73.80859,"(42.8688, -73.80859)"
Fulton,Gloversville Farmers' Market,Elm Street Pavilion,9 Elm Street,Gloversville,NY,12078,Michael Tillson,5188829306,http://www.fmfma.org,Sat  8:30am-12:30pm,May 2-October 17,P/M,Y,Y,N,Y,43.052604,-74.345796,"(43.052604, -74.345796)"
Queens,Flushing Greenmarket,42-45 Kissena Blvd. and Maple Ave. (Maple Playground),Kissena Boulevard and Maple Avenue,Flushing,NY,11355,Siobahn Keys,2127887476,https://www.grownyc.org/farmstands,Wednesday  8am-3pm,July 8-November 25,M,Y,Y,N,Y,40.75636,-73.82579,"(40.75636, -73.82579)"
Franklin,JCEO MM-Franklin Co Courthouse,355 W Main St.  Malone,355 W Main St.,Malone,NY,12953,Richard LaVigne,5183194028,http://www.jceo.org,Thurs  11:30am-2pm,June 11-October 15,M,Y,Y,N,Y,44.84882,-74.29518,"(44.84882, -74.29518)"
Cattaraugus,R.E.A.P. Olean Farmers' Market,"Lincoln Park Pavillion, 100 E. State St Olean",400 N. Union St.,Olean,NY,14760,Stephanie Beneg,7163745257,http://www.oleanfarmersmarket.com,Saturday  8am-1pm,May 2-October 31,P/M,Y,Y,N,Y,42.08329,-78.42987,"(42.08329, -78.42987)"
Nassau,Kennedy Plaza Long Beach Farmers' Market -Wed,1 West Chester St. Long Beach,1 West Chester St,Long Beach,NY,11561,Bernadette Martin,5165643485,http://www.ligreenmarket.org,Wednesday 9am-2pm,June 17-November 25,P/M,Y,N,N,Y,40.58943,-73.66592,"(40.58943, -73.66592)"
New York,Columbia Thu Greenmarket,Broadway btwn W 114th &  W 115th Sts.,Broadway and West 115th St,New York,NY,10027,Siobahn Keys,2127887476,http://www.grownyc.org/greenmarket/manhattan/columbia-th,Thursday  8am-5pm,Year-round,YR,Y,Y,N,Y,40.80731,-73.9643,"(40.80731, -73.9643)"
Orange,Port Jervis Farmers' Market,100 Pike St. Farmers Market Square,100 Pike Street,Port Jervis,NY,12771,Sarah Worthy,8458005130,http://www.pjfarmmarket.com,Saturday  10am-2pm,June 6-October 3,M,Y,Y,N,Y,41.37555,-74.69237,"(41.37555, -74.69237)"
Westchester,Larchmont Farmers' Market,"122 Myrtle Blvd. , Metro North lot off Chatsworth Ave.",Metro-North parking deck off Chatsworth Avenue,Larchmont,NY,10538,Miriam Haas,9149234837,http://www.downtoearthmarkets.com,Saturday  8:30am-1pm,May 2-December 19,P/M/X,Y,Y,Y,Y,40.93322,-73.75951,"(40.93322, -73.75951)"
Ontario,Canandaigua WINTER Farmers' Market,"Antis St. Parkling lot, Behind Byrne Dairy",Antis St.,Canandaigua,NY,14424,Rich Riedman,5853946597,,"Every other Sat  , 10am-11am",November 14-May 31,M/X/W/P,Y,N,N,Y,42.88362,-77.2801,"(42.88362, -77.2801)"
Kings,Isabahlia Farm Stand-Rockaway Ave,514 Rockaway Avenue Brooklyn,514 Rockaway Avenue,Brooklyn,NY,11212,Brenda Thompson-Duchene,7184983174,http://www.isabahlialoefinc.org,Fri/Sat 8am-3pm,June 30-October 31,M,Y,Y,N,Y,40.66751,-73.91021,"(40.66751, -73.91021)"
Seneca,Waterloo Rotary Farmers' Market,"22 Locust Street, parking lot near Save a Lot",22 Locust Street,Waterloo,NY,13165,Dan Grillone,8133820889,http://www.waterloofarmmarket.com,Saturday  9am-1pm,June 20-October 3,M,Y,Y,N,Y,42.90253,-76.86587,"(42.90253, -76.86587)"
Tioga,Seven Counties Farmers' Market-Fri,153 Main Street,153 Main Street,Owego,NY,13827,John Purdy,6076428439,,Friday  9am-1pm,June 19-October 30,M,Y,N,N,Y,42.10315,-76.26336,"(42.10315, -76.26336)"
Cattaraugus,Enchanted Mountains Farmers Market,1900 Constituion Ave Olean,1900 Constituion Ave,Olean,NY,14760,Tammy Gardner,7165435475,,Friday 2pm-6pm,May 29-October 23,P/M,Y,N,N,Y,42.08304,-78.45343,"(42.08304, -78.45343)"
Franklin,Steen Orchard Farm Stand,1496 St Rt 11 Brushton,1496 St Rt 11,Brushton,NY,12916,Leona Steen,5185296398,,"Mon-Fri 10am-6pm, Sat/Sun 11am-4pm",June 1-Oct 31,M,Y,N,N,Y,44.83379,-74.49148,"(44.83379, -74.49148)"
Albany,Veggie Mobile-Whitney Young Health Ctr,920 Lark Drive Albany,920 Lark Drive,Albany,NY,12207,Audrey Bridge,5182748685,http://www.capitalroots.org,Tue 11am-12pm,Year-round,YR,Y,Y,Y,Y,42.66215,-73.74859,"(42.66215, -73.74859)"
Jefferson,Windswept Meadows Farm Stand,17025 Cty Rt 68  Watertown,17025 County Road 68,Watertown,NY,13601,Delta Keeney,3157881933,http://www.keeneyswindsweptmeadowsfarm.com,Daily  7am-8pm,June 26-October 29,M,Y,Y,N,Y,43.91784,-75.87206,"(43.91784, -75.87206)"
Dutchess,Rhinebeck Farmers' Market,Municipal lot 61 E. Market St.,61 East Market St,Rhinebeck,NY,12572,Andrea Bartolomeo,5188211481,http://www.rhinebeckfarmersmarket.com,Sunday  10am-2pm,May 3-December 27,P/M/X,Y,Y,N,Y,41.92704,-73.91027,"(41.92704, -73.91027)"
Albany,Farmers' Market at the Crossings,580 Albany Shaker Rd. Loudonville,580 Albany Shaker Rd,Colonie,NY,12211,Laura Archambault,5187832760,http://www.colonie.org,Saturday  9am-1pm,June 13-September 26,M,Y,N,N,Y,42.71016,-73.78029,"(42.71016, -73.78029)"
Rensselaer,Troy Waterfront Farmers' Market,"River Front Park River St Troy, (moved fromRussell Sage College lot)",282 River St,Troy,NY,12180,Stephen Ridler,5187084216,http://www.troymarket.org,Saturday  8:30am-4pm,May 16-October 26,P/M,Y,Y,Y,Y,42.73214,-73.6905,"(42.73214, -73.6905)"
Allegany,Riverside Farms Farm Market,3314 Riverside Drive  Scio,3314 Riverside Drive,Scio,NY,14895,Stephen Demarte,7165605594,,"Mon-Fri  10am-7pm, Sat/Sun  12pm-6pm",April-December,P/M/X,Y,N,N,Y,42.14093,-77.97553,"(42.14093, -77.97553)"
Dutchess,Pawling Farmers' Market,Pawling Village Green Charles Colman Blvd.,154 Charles Colman Blvd.,Pawling,NY,12564,Betsy Montgomery,9179418762,http://www.pawlingfarmersmarket.org,Saturday  9am-1pm,June 13-September 27,M,Y,N,N,Y,41.56315,-73.60143,"(41.56315, -73.60143)"
Niagara,Lockport Community WINTER Farmers' Market,210 Walnut St.,210 Walnut Street,Lockport,NY,14094,Jessica Dittly,7164340212,http://www.lockportcommunitymarket.com,1st & 3rd Saturday  10am-2pm,November 2-May 16,M/X/W/P,N,Y,N,Y,43.16982,-78.68755,"(43.16982, -78.68755)"
Montgomery,Fort Plain Farm Stand,Parking lot on 12 Willet St. Ft. Plain,12 Willet Street,Fort Plain,NY,13339,Annette Rorick,5189934271,,Thu/Fri  10am-3pm,June 25-October 30,M,Y,N,N,Y,42.9316,-74.62182,"(42.9316, -74.62182)"
New York,Chelsea Farmers' Market,383 W 23rd St. btw 8th & 9th Aves.,383 W 23rd Street,New York,NY,10011,Miriam Haas,9149234837,http://www.downtoearthmarkets.com,Saturday  9am-3pm,June 6-December 19,P/M/X,Y,Y,N,Y,40.74633,-74.00081,"(40.74633, -74.00081)"
